position	value	codepoint	char
201	106051	U+24122	𤄢
202	119565	U+4A54	䩔
203	129705	U+1788	ឈ
204	121331	U+2750A	𧔊
205	98913	U+8934	褴
206	116437	U+10385	𐎅
207	8492	U+2B41E	𫐞
208	111357	U+2376B	𣝫
209	1480	U+11BC3	𑯃
210	108800	U+3C61	㱡
211	27628	U+519E	冞
212	10480	U+592B	夫
213	71388	U+ABC6	ꯆ
214	86426	U+2018A	𠆊
215	95939	U+23AA5	𣪥
216	44270	U+2AB60	𪭠
217	77487	U+294BE	𩒾
218	18246	U+1FBF4	🯴
219	147379	U+1EE52	𞹒
220	49392	U+1A88	᪈
221	23289	U+2AA23	𪨣
222	76273	U+0836	࠶
223	35178	U+D129	턩
224	137933	U+31A99	𱪙
225	59528	U+28FA3	𨾣
226	100401	U+22135	𢄵
227	120142	U+25D60	𥵠
228	37783	U+AF6C	꽬
229	10964	U+31B1	ㆱ
230	68765	U+172A0	𗊠
231	45992	U+8A4D	詍
232	141336	U+9D64	鵤
233	52212	U+1455D	𔕝
234	128869	U+7CD8	糘
235	77488	U+295B3	𩖳
236	64996	U+2C317	𬌗
237	94887	U+3DC2	㷂
238	123314	U+2A542	𪕂
239	113357	U+2DF30	𭼰
240	146913	U+1F9E0	🧠
241	41784	U+20DA9	𠶩
242	2379	U+02F9	˹
243	107042	U+22178	𢅸
244	79203	U+1004D	𐁍
245	40411	U+C558	았
246	113159	U+8103	脃
247	41501	U+6869	桩
248	50422	U+C496	쒖
249	16327	U+C36C	썬
250	36611	U+25991	𥦑
251	35591	U+26747	𦝇
252	60007	U+30DFA	𰷺
253	139365	U+2937A	𩍺
254	141379	U+2A65E	𪙞
255	138800	U+29986	𩦆
256	109362	U+23F4F	𣽏
257	87904	U+21BEE	𡯮
258	109515	U+27B8B	𧮋
259	49021	U+230DD	𣃝
260	124285	U+6509	攉
261	90283	U+22A07	𢨇
262	129399	U+9127	鄧
263	56212	U+23D6D	𣵭
264	82417	U+28853	𨡓
265	42526	U+24993	𤦓
266	36572	U+23E3D	𣸽
267	10504	U+B21B	눛
268	83960	U+10488	𐒈
269	51690	U+8353	荓
270	125649	U+7DD1	緑
271	99160	U+184D2	𘓒
272	13268	U+2CB6	Ⲷ
273	54029	U+300BE	𰂾
274	34455	U+2AA33	𪨳
275	70520	U+2E098	𮂘
276	1702	U+1D93B	𝤻
277	26003	U+24935	𤤵
278	96523	U+16A43	𖩃
279	58788	U+73C3	珃
280	56525	U+30138	𰄸
281	57038	U+213A2	𡎢
282	119371	U+2080C	𠠌
283	249	U+133FB	𓏻
284	35094	U+C2CD	싍
285	136606	U+11188	𑆈
286	22721	U+2A797	𪞗
287	46939	U+23191	𣆑
288	44171	U+262EC	𦋬
289	121352	U+2BE69	𫹩
290	145714	U+1675	ᙵ
291	108570	U+28BA5	𨮥
292	84849	U+27095	𧂕
293	55939	U+5C5B	屛
294	94790	U+181EF	𘇯
295	85078	U+17121	𗄡
296	49911	U+2719D	𧆝
297	137440	U+7CF0	糰
298	23552	U+B580	떀
299	73271	U+2330D	𣌍
300	49686	U+1D087	𝂇
301	20313	U+2F944	𥄳
302	2628	U+1D88D	𝢍
303	26100	U+2E377	𮍷
304	5559	U+1D362	𝍢
305	130086	U+2A4A4	𪒤
306	92268	U+28549	𨕉
307	128120	U+0D22	ഢ
308	30281	U+20D2D	𠴭
309	86688	U+23A12	𣨒
310	131919	U+2A19B	𪆛
311	60837	U+28FB6	𨾶
312	106215	U+2CAF3	𬫳
313	32717	U+C3F8	쏸
314	123606	U+9854	顔
315	96683	U+26E82	𦺂
316	132913	U+27590	𧖐
317	84220	U+567D	噽
318	3499	U+B274	뉴
319	23040	U+20488	𠒈
320	31303	U+D483	풃
321	85400	U+29A5D	𩩝
322	44013	U+110E8	𑃨
323	15371	U+226FD	𢛽
324	114661	U+29DB6	𩶶
325	126148	U+2AF2F	𪼯
326	67194	U+10995	𐦕
327	81797	U+4DF2	䷲
328	55026	U+2E6E7	𮛧
329	6030	U+2CEB3	𬺳
330	12514	U+18B88	𘮈
331	64425	U+2D867	𭡧
332	131301	U+2AB5B	𪭛
333	29323	U+224CE	𢓎
334	144107	U+2A1DF	𪇟
335	123481	U+5AEC	嫬
336	138804	U+2CE75	𬹵
337	42620	U+32274	𲉴
338	144277	U+5ADB	嫛
339	56713	U+22777	𢝷
340	1392	U+1D980	𝦀
341	135469	U+17A62	𗩢
342	7680	U+10631	𐘱
343	24338	U+67EE	柮
344	17679	U+1D952	𝥒
345	49633	U+0D6E	൮
346	48623	U+5F57	彗
347	131572	U+78E9	磩
348	61002	U+00CE	Î
349	9789	U+18BA4	𘮤
350	7699	U+98DE	飞
351	38101	U+31508	𱔈
352	2637	U+1E29A	𞊚
353	25233	U+06B7	ڷ
354	89113	U+2831E	𨌞
355	10825	U+2B9A4	𫦤
356	84926	U+29897	𩢗
357	36812	U+290A9	𩂩
358	120445	U+704C	灌
359	122753	U+928A	銊
360	8256	U+B508	딈
361	54868	U+262AA	𦊪
362	21914	U+097F	ॿ
363	2426	U+13322	𓌢
364	61213	U+1317F	𓅿
365	141828	U+1844E	𘑎
366	13112	U+213F	ℿ
367	23986	U+1CFBC	𜾼
368	44855	U+2071F	𠜟
369	120127	U+24B87	𤮇
370	73669	U+5952	奒
371	73298	U+26C36	𦰶
372	18769	U+BFB4	뾴
373	34047	U+28D03	𨴃
374	82223	U+223F8	𢏸
375	63048	U+2EA67	𮩧
376	105168	U+262FB	𦋻
377	70842	U+2BBA0	𫮠
378	106257	U+21421	𡐡
379	2193	U+1D15B	𝅛
380	93823	U+8851	衑
381	59214	U+2F8BF	搢
382	96288	U+84F1	蓱
383	126639	U+0477	ѷ
384	14583	U+3065E	𰙞
385	137069	U+3C79	㱹
386	80114	U+26F1B	𦼛
387	107305	U+298E5	𩣥
388	79000	U+26DCC	𦷌
389	140001	U+8F64	轤
390	49987	U+2AF45	𪽅
391	124042	U+2E25B	𮉛
392	125714	U+9D44	鵄
393	76704	U+180E2	𘃢
394	69082	U+27BC4	𧯄
395	126089	U+25D15	𥴕
396	95290	U+2E88F	𮢏
397	138492	U+1ED3	ồ
398	50331	U+8D3B	贻
399	127044	U+97A7	鞧
400	133274	U+27205	𧈅
401	11818	U+10812	𐠒
402	146305	U+130F9	𓃹
403	135695	U+8AD3	諓
404	24777	U+1E847	𞡇
405	6361	U+A6DA	ꛚ
406	38409	U+A941	ꥁ
407	53826	U+14D8	ᓘ
408	18193	U+12252	𒉒
409	47695	U+2518D	𥆍
410	27945	U+CC2B	찫
411	40593	U+2B748	𫝈
412	20691	U+30442	𰑂
413	94383	U+25C51	𥱑
414	147561	U+101E4	𐇤
415	129313	U+42C2	䋂
416	37649	U+5C2A	尪
417	52742	U+A476	ꑶ
418	60053	U+369D	㚝
419	10892	U+10F57	𐽗
420	3213	U+119CB	𑧋
421	78079	U+25BA7	𥮧
422	130400	U+3619	㘙
423	51318	U+00B0	°
424	18332	U+2226	∦
425	91676	U+2ABAB	𪮫
426	123044	U+17F1C	𗼜
427	75066	U+208DF	𠣟
428	129753	U+30BEB	𰯫
429	6544	U+188B4	𘢴
430	124875	U+3A4A	㩊
431	1068	U+1E05A	𞁚
432	115050	U+6FBF	澿
433	47767	U+2780D	𧠍
434	7903	U+105D0	𐗐
435	58234	U+24B46	𤭆
436	18138	U+239BF	𣦿
437	101594	U+24E32	𤸲
438	80876	U+204C5	𠓅
439	92783	U+23EF1	𣻱
440	98026	U+173DB	𗏛
441	94666	U+2B805	𫠅
442	40339	U+B246	뉆
443	43211	U+8A4C	詌
444	146951	U+269A	⚚
445	117658	U+17C2D	𗰭
446	52890	U+2D4C7	𭓇
447	61010	U+01BB	ƻ
448	73000	U+2AF01	𪼁
449	41376	U+27A0	➠
450	18384	U+18C5E	𘱞
451	124459	U+2108E	𡂎
452	137125	U+7A40	穀
453	85331	U+1416	ᐖ
454	147223	U+1EE59	𞹙
455	138447	U+22EA4	𢺤
456	143596	U+512F	儯
457	101134	U+6D7C	浼
458	69077	U+276AF	𧚯
459	86	U+1F1EB	🇫
460	100361	U+AB46	ꭆ
461	30355	U+30074	𰁴
462	43948	U+2B778	𫝸
463	64024	U+1D11	ᴑ
464	20279	U+233C2	𣏂
465	143846	U+27B8C	𧮌
466	61281	U+31091	𱂑
467	114118	U+9E4A	鹊
468	39161	U+D3BE	펾
469	17275	U+3147F	𱑿
470	81720	U+CB78	쭸
471	60649	U+2253B	𢔻
472	147043	U+1250B	𒔋
473	108127	U+24A4A	𤩊
474	10524	U+B872	롲
475	81325	U+1EE4B	𞹋
476	87220	U+5D6C	嵬
477	106161	U+298D9	𩣙
478	72961	U+28E72	𨹲
479	142865	U+A30A	ꌊ
480	28471	U+1D685	𝚅
481	20812	U+20B46	𠭆
482	73420	U+054B	Ջ
483	81791	U+4DE2	䷢
484	131677	U+1E57	ṗ
485	47533	U+311D3	𱇓
486	111557	U+228E4	𢣤
487	129127	U+1E04	Ḅ
488	112080	U+4B7C	䭼
489	138385	U+7A69	穩
490	84607	U+294B2	𩒲
491	1875	U+1CE82	𜺂
492	127777	U+30D1E	𰴞
493	96007	U+2EE1D	𮸝
494	127322	U+26A03	𦨃
495	119482	U+2B055	𫁕
496	123906	U+2A544	𪕄
497	73570	U+28E0	⣠
498	84287	U+6C6C	汬
499	31356	U+2091A	𠤚
500	74781	U+24407	𤐇
501	85815	U+22FF2	𢿲
502	43149	U+631C	挜
503	52462	U+2B31C	𫌜
504	40624	U+2EA36	𮨶
505	107907	U+4782	䞂
506	100738	U+30F2D	𰼭
507	17120	U+CD24	촤
508	70331	U+26C9B	𦲛
509	36367	U+D319	팙
510	114709	U+2E457	𮑗
511	62526	U+17048	𗁈
512	119281	U+2A251	𪉑
513	121362	U+2EB47	𮭇
514	42084	U+2690C	𦤌
515	23930	U+1DA0	ᶠ
516	112309	U+237B8	𣞸
517	27666	U+5FD6	忖
518	10329	U+0BF6	௶
519	130555	U+9D31	鴱
520	12204	U+ADD8	귘
521	7221	U+169DB	𖧛
522	4947	U+1B04A	𛁊
523	83343	U+13035	𓀵
524	103628	U+78E8	磨
525	39212	U+22251	𢉑
526	104078	U+233A9	𣎩
527	71055	U+7A2B	稫
528	85064	U+2AC2	⫂
529	109120	U+26E98	𦺘
530	22624	U+12153	𒅓
531	66842	U+266BA	𦚺
532	484	U+FFE2	￢
533	118266	U+172E2	𗋢
534	35	U+005A	Z
535	114186	U+298F0	𩣰
536	11569	U+3381	㎁
537	99769	U+4146	䅆
538	126334	U+79AF	禯
539	3062	U+FA5D	艹
540	75543	U+3953	㥓
541	27867	U+C22A	숪
542	12737	U+2CED0	𬻐
543	117827	U+442E	䐮
544	57152	U+31147	𱅇
545	144479	U+700A	瀊
546	18328	U+21B0	↰
547	110636	U+22593	𢖓
548	83430	U+236D1	𣛑
549	3448	U+104B3	𐒳
550	104605	U+4A75	䩵
551	6263	U+11B1	ᆱ
552	99126	U+17995	𗦕
553	74399	U+25C69	𥱩
554	22823	U+21DA8	𡶨
555	68611	U+2060B	𠘋
556	99594	U+1F3E9	🏩
557	36027	U+30261	𰉡
558	68270	U+90BE	邾
559	132107	U+9052	遒
560	71340	U+2D3EC	𭏬
561	125	U+1BC0E	𛰎
562	119722	U+243C1	𤏁
563	102995	U+260E9	𦃩
564	116638	U+2902C	𩀬
565	114820	U+1F37C	🍼
566	124376	U+9363	鍣
567	46871	U+18A79	𘩹
568	25460	U+B058	끘
569	144856	U+89B6	覶
570	51822	U+C49E	쒞
571	77873	U+2CB05	𬬅
572	89315	U+2B6F9	𫛹
573	145239	U+16B29	𖬩
574	94969	U+5FB8	徸
575	93929	U+20E59	𠹙
576	101529	U+2C68F	𬚏
577	118466	U+FC12	ﰒ
578	126165	U+2E057	𮁗
579	35062	U+BCEC	볬
580	129924	U+891B	褛
581	100201	U+264E1	𦓡
582	26435	U+AFDC	꿜
583	140214	U+6524	攤
584	72843	U+24E72	𤹲
585	103892	U+2EBA4	𮮤
586	87791	U+2A4EA	𪓪
587	2527	U+14622	𔘢
588	102037	U+2CE71	𬹱
589	37021	U+20917	𠤗
590	138276	U+22957	𢥗
591	13726	U+2BD74	𫵴
592	89012	U+247F8	𤟸
593	68254	U+8A3D	訽
594	38815	U+32280	𲊀
595	74547	U+2AA1C	𪨜
596	115761	U+2BBAB	𫮫
597	76010	U+2B69D	𫚝
598	118788	U+203FC	𠏼
599	77358	U+0128	Ĩ
600	119561	U+48F2	䣲
601	120819	U+270CF	𧃏
602	121470	U+281F6	𨇶
603	118482	U+16937	𖤷
604	47534	U+31760	𱝠
605	26521	U+BE1A	븚
606	129943	U+936C	鍬
607	126801	U+2C702	𬜂
608	30395	U+AA08	ꨈ
609	68330	U+C9AA	즪
610	130414	U+3FD5	㿕
611	113828	U+27039	𧀹
612	21675	U+16F0E	𖼎
613	29400	U+206BF	𠚿
614	106880	U+950E	锎
615	26892	U+2840D	𨐍
616	14736	U+30BE	ゾ
617	60506	U+26981	𦦁
618	36406	U+26B75	𦭵
619	1251	U+2C5C	ⱜ
620	71834	U+2E053	𮁓
621	48370	U+27976	𧥶
622	73078	U+2E427	𮐧
623	127018	U+8E57	蹗
624	97686	U+7464	瑤
625	130071	U+26181	𦆁
626	71998	U+2D136	𭄶
627	54920	U+28446	𨑆
628	115516	U+24A68	𤩨
629	88618	U+7C76	籶
630	133414	U+2BE10	𫸐
631	27975	U+D171	텱
632	113559	U+24464	𤑤
633	120147	U+25DF1	𥷱
634	5675	U+1116	ᄖ
