position	value	codepoint	char
203	13463	U+5F74	彴
204	86536	U+2A6A8	𪚨
205	15885	U+875E	蝞
206	5230	U+8ECB	軋
207	2893	U+D4E8	퓨
208	84921	U+29DE7	𩷧
209	127006	U+2AC39	𪰹
210	119337	U+251B4	𥆴
211	88012	U+2C2C3	𬋃
212	129018	U+2B67F	𫙿
213	23039	U+1E0E	Ḏ
214	28633	U+B508	딈
215	101888	U+16E6B	𖹫
216	116373	U+232D1	𣋑
217	43692	U+279F	➟
218	608	U+4E16	世
219	82666	U+2921F	𩈟
220	36369	U+D4BA	풺
221	75593	U+268AF	𦢯
222	42978	U+2446	⑆
223	10812	U+9201	鈁
224	31895	U+C25E	쉞
225	79039	U+27C43	𧱃
226	10572	U+8C30	谰
227	117131	U+2399A	𣦚
228	44917	U+3384	㎄
229	130238	U+2BD40	𫵀
230	88535	U+2CB53	𬭓
231	75138	U+265E1	𦗡
232	106799	U+182A4	𘊤
233	74813	U+263EB	𦏫
234	139845	U+2ED57	𮵗
235	59798	U+F9CC	琉
236	43749	U+27DB	⟛
237	5257	U+9077	遷
238	66670	U+22D94	𢶔
239	9516	U+6D01	洁
240	138048	U+2E479	𮑹
241	42491	U+2237	∷
242	101257	U+16942	𖥂
243	51672	U+37D9	㟙
244	2865	U+CCAB	첫
245	124653	U+294F4	𩓴
246	110882	U+1E8A0	𞢠
247	114839	U+22322	𢌢
248	58723	U+857D	蕽
249	136847	U+2DEB7	𭺷
250	24784	U+FEF8	ﻸ
251	1447	U+30D2	ヒ
252	83684	U+2971F	𩜟
253	109188	U+18C01	𘰁
254	115071	U+226A0	𢚠
255	100268	U+1340A	𓐊
256	84250	U+29A30	𩨰
257	60725	U+2064A	𠙊
258	137890	U+2E3B3	𮎳
259	104302	U+178E3	𗣣
260	134752	U+2D4EB	𭓫
261	123624	U+2872B	𨜫
262	43569	U+270E	✎
263	51615	U+379B	㞛
264	109126	U+18BC3	𘯃
265	123618	U+2870A	𨜊
266	42004	U+18B3	ᢳ
267	134339	U+2D304	𭌄
268	43752	U+27DE	⟞
269	106774	U+1828B	𘊋
270	124227	U+28DDC	𨷜
271	15071	U+7AB1	窱
272	140919	U+30178	𰅸
273	90733	U+30B01	𰬁
274	128363	U+2B281	𫊁
275	131859	U+2C4DD	𬓝
276	14209	U+6C43	汃
277	11522	U+269F2	𦧲
278	148291	U+3239A	𲎚
279	65152	U+2236C	𢍬
280	81657	U+28C7F	𨱿
281	48151	U+1FB0E	🬎
282	43505	U+26AD	⚭
283	41092	U+A58D	ꖍ
284	75821	U+269E7	𦧧
285	5510	U+5862	塢
286	75243	U+26681	𦚁
287	92488	U+ABF5	꯵
288	59972	U+200B5	𠂵
289	139449	U+2EB43	𮭃
290	91462	U+3128B	𱊋
291	112474	U+209C2	𠧂
292	139153	U+2E9BE	𮦾
293	91660	U+3179D	𱞝
294	6474	U+734E	獎
295	133654	U+2CFB7	𬾷
296	70705	U+24A10	𤨐
297	36709	U+D62D	혭
298	99770	U+13218	𓈘
299	45971	U+1CE31	𜸱
300	93924	U+1008A	𐂊
301	59148	U+929F	銟
302	144050	U+3109D	𱂝
303	110734	U+1E80C	𞠌
304	123152	U+280FE	𨃾
305	18326	U+4551	䕑
306	130138	U+2BCDB	𫳛
307	56510	U+4CAF	䲯
308	145365	U+31790	𱞐
309	137671	U+2E29B	𮊛
310	121904	U+26EFB	𦻻
311	80649	U+2859B	𨖛
312	52792	U+3CA8	㲨
313	113743	U+216C6	𡛆
314	17470	U+9F0F	鼏
315	62300	U+210A0	𡂠
316	51133	U+355A	㕚
317	79896	U+2812D	𨄭
318	122259	U+2738B	𧎋
319	141816	U+3056C	𰕬
320	148087	U+322B4	𲊴
321	116159	U+230DB	𣃛
322	50250	U+1F386	🎆
323	7306	U+8071	聱
324	33864	U+CA92	쪒
325	137226	U+2E07A	𮁺
326	12675	U+4F2C	伬
327	50005	U+2615	☕
328	21574	U+25419	𥐙
329	49994	U+1F382	🎂
330	18065	U+3AF5	㫵
331	85131	U+29F5C	𩽜
332	73043	U+258EE	𥣮
333	43742	U+27D4	⟔
334	99675	U+131B9	𓆹
335	54937	U+4610	䘐
336	84799	U+29D24	𩴤
337	144623	U+31462	𱑢
338	86314	U+2A592	𪖒
339	69939	U+2455F	𤕟
340	19101	U+6CCE	泎
341	128761	U+2B4C6	𫓆
342	92497	U+10844	𐡄
343	105116	U+17C11	𗰑
344	27581	U+B0B0	낰
345	19186	U+70CC	烌
346	76066	U+26B41	𦭁
347	3929	U+770B	看
348	56402	U+4C33	䰳
349	147906	U+321F9	𲇹
350	47236	U+1F10C	🄌
351	1039	U+85AC	薬
352	1349	U+8DB3	足
353	59421	U+9B78	魸
354	77174	U+27242	𧉂
355	69651	U+24309	𤌉
356	49670	U+1F934	🤴
357	122652	U+2798B	𧦋
358	141434	U+303BE	𰎾
359	23090	U+1E41	ṁ
360	37643	U+1D23E	𝈾
361	121985	U+26FFC	𦿼
362	83246	U+294EA	𩓪
363	112153	U+205AD	𠖭
364	24950	U+1EEAE	𞺮
365	143452	U+30D04	𰴄
366	140064	U+2F818	冤
367	18603	U+546D	呭
368	103246	U+174C3	𗓃
369	44466	U+2BB4	⮴
370	15598	U+8434	萴
371	10331	U+871E	蜞
372	120778	U+260C0	𦃀
373	5891	U+88DD	裝
374	7775	U+5E14	帔
375	26577	U+AC9C	겜
376	15441	U+8172	腲
377	29705	U+B963	륣
378	13489	U+6009	怉
379	50105	U+1F69D	🚝
380	83204	U+294AE	𩒮
381	10573	U+8C31	谱
382	62359	U+21123	𡄣
383	93023	U+1A82	᪂
384	80605	U+28555	𨕕
385	140908	U+3016D	𰅭
386	120447	U+25D48	𥵈
387	112006	U+20437	𠐷
388	114896	U+22423	𢐣
389	96517	U+1119D	𑆝
390	36125	U+D3BD	펽
391	100722	U+1459A	𔖚
392	124957	U+299FD	𩧽
393	123602	U+286C2	𨛂
394	32998	U+C6F6	웶
395	147651	U+320EC	𲃬
396	3269	U+5B5F	孟
397	21232	U+239C2	𣧂
398	74547	U+2627C	𦉼
399	38145	U+0D88	ඈ
400	17245	U+9C34	鰴
401	79310	U+27DB1	𧶱
402	130146	U+2BCE3	𫳣
403	34854	U+CE8E	캎
404	27655	U+B0FD	냽
405	143077	U+30AF9	𰫹
406	35082	U+CF80	쾀
407	120793	U+260F5	𦃵
408	98228	U+12147	𒅇
409	136658	U+2DDDE	𭷞
410	13088	U+58DD	壝
411	93592	U+A6E9	ꛩ
412	41798	U+15B5	ᖵ
413	46915	U+1EC9D	𞲝
414	2439	U+8179	腹
415	32130	U+C358	썘
416	6092	U+5191	冑
417	11229	U+9992	馒
418	54550	U+444D	䑍
419	142560	U+308B4	𰢴
420	67418	U+232B6	𣊶
421	63935	U+21C25	𡰥
422	135309	U+2D799	𭞙
423	29088	U+B6D7	뛗
424	55536	U+4886	䢆
425	17747	U+7BFC	篼
426	62982	U+21574	𡕴
427	114158	U+21B3A	𡬺
428	57683	U+666D	晭
429	30718	U+BD9F	붟
430	65250	U+223E9	𢏩
431	33803	U+CA55	쩕
432	82793	U+292B5	𩊵
433	71056	U+24C71	𤱱
434	118480	U+246E0	𤛠
435	21484	U+24A25	𤨥
436	122165	U+27237	𧈷
437	66493	U+22C00	𢰀
438	119376	U+25231	𥈱
439	99019	U+124D0	𒓐
440	112118	U+20559	𠕙
441	3573	U+6668	晨
442	10953	U+94E7	铧
443	20496	U+9EC1	黁
444	125007	U+29ADD	𩫝
445	54427	U+43C5	䏅
446	38632	U+FB13	ﬓ
447	133539	U+2CF20	𬼠
448	76174	U+26BEA	𦯪
449	71220	U+24D64	𤵤
450	7673	U+5658	噘
451	11956	U+6908	椈
452	44015	U+29E7	⧧
453	93938	U+10098	𐂘
454	17310	U+9D4A	鵊
455	4191	U+8475	葵
456	38378	U+19E4	᧤
457	52687	U+3C3D	㰽
458	145551	U+31851	𱡑
459	99295	U+1303D	𓀽
460	121983	U+26FFA	𦿺
461	43924	U+298C	⦌
462	41691	U+154A	ᕊ
463	85671	U+2A263	𪉣
464	111762	U+20218	𠈘
465	82150	U+28F66	𨽦
466	92	U+043F	п
467	106143	U+18014	𘀔
468	107368	U+184DD	𘓝
469	12525	U+8F63	轣
470	126487	U+2A9F2	𪧲
471	204	U+0642	ق
472	94227	U+10388	𐎈
473	15880	U+8756	蝖
474	50409	U+1FA89	🪉
475	14322	U+6E78	湸
476	79305	U+27DA3	𧶣
477	62536	U+21231	𡈱
478	45757	U+1CD5B	𜵛
479	73607	U+25C84	𥲄
480	127020	U+2AC48	𪱈
481	49902	U+1F348	🍈
482	140096	U+2F83A	叱
483	90719	U+30A79	𰩹
484	136429	U+2DCD8	𭳘
485	105814	U+17ECB	𗻋
486	146163	U+31AD0	𱫐
487	42234	U+207E	⁾
488	7202	U+752D	甭
489	103910	U+1775B	𗝛
490	147513	U+3205E	𲁞
491	56495	U+4C9C	䲜
492	98195	U+12126	𒄦
493	110648	U+1E4D6	𞓖
494	65705	U+22677	𢙷
495	78430	U+27922	𧤢
496	15653	U+84EB	蓫
497	31659	U+C167	셧
498	17325	U+9D6B	鵫
499	71463	U+24EC5	𤻅
500	107506	U+18567	𘕧
501	87318	U+2B691	𫚑
502	36467	U+D520	픠
503	7673	U+5658	噘
504	93046	U+1AA5	᪥
505	59516	U+9D65	鵥
506	114090	U+21A75	𡩵
507	147739	U+32149	𲅉
508	141505	U+3040D	𰐍
509	55081	U+46A6	䚦
510	132150	U+2C663	𬙣
511	8590	U+4FA7	侧
512	88634	U+2CC6D	𬱭
513	112239	U+206CC	𠛌
514	25818	U+32F0	㋰
515	145094	U+3166A	𱙪
516	90967	U+30DE7	𰷧
517	60353	U+203AF	𠎯
518	84224	U+29A0F	𩨏
519	7699	U+57D5	埕
520	78764	U+27AE9	𧫩
521	101036	U+16865	𖡥
522	114101	U+21A95	𡪕
523	67415	U+232A8	𣊨
524	38811	U+12F2	ዲ
525	86535	U+2A6A7	𪚧
526	21253	U+23D40	𣵀
527	56237	U+4B81	䮁
528	75089	U+26586	𦖆
529	56966	U+52FD	勽
530	60177	U+2023F	𠈿
531	52752	U+3C7F	㱿
532	91154	U+30FC4	𰿄
533	136563	U+2DD76	𭵶
534	58123	U+7427	琧
535	142235	U+3074A	𰝊
536	1602	U+5802	堂
537	129311	U+2B8FD	𫣽
538	105167	U+17C44	𗱄
539	144321	U+312F7	𱋷
540	14831	U+76F5	盵
541	97511	U+11A73	𑩳
542	108217	U+18836	𘠶
543	4331	U+90AA	邪
544	119754	U+25652	𥙒
545	70908	U+24B8F	𤮏
546	141982	U+3062B	𰘫
547	56728	U+4DA1	䶡
548	67372	U+23254	𣉔
549	90445	U+300C6	𰃆
550	117989	U+2423A	𤈺
551	98949	U+1248A	𒒊
552	147718	U+32133	𲄳
553	117047	U+23851	𣡑
554	32976	U+C6DE	웞
555	132927	U+2CAAD	𬪭
556	79160	U+27CD5	𧳕
557	115154	U+22767	𢝧
558	101915	U+16E86	𖺆
559	119686	U+255BA	𥖺
560	31368	U+C02F	쀯
561	145472	U+31800	𱠀
562	92041	U+286F	⡯
563	128496	U+2B340	𫍀
564	10162	U+8114	脔
565	137700	U+2E2C3	𮋃
566	4000	U+7A3C	稼
567	111246	U+2F7A	⽺
568	56863	U+50A1	傡
569	119078	U+24E53	𤹓
570	141159	U+3028C	𰊌
571	119583	U+254C9	𥓉
572	87496	U+2B79E	𫞞
573	129275	U+2B8D6	𫣖
574	2858	U+C6B1	욱
575	125092	U+29BD9	𩯙
576	9476	U+6B9A	殚
577	127833	U+2AFF4	𪿴
578	10005	U+7E6E	繮
579	119647	U+25560	𥕠
580	136735	U+2DE33	𭸳
581	7084	U+6690	暐
582	100654	U+14556	𔕖
583	93034	U+1A93	᪓
584	68105	U+2385E	𣡞
585	10359	U+8816	蠖
586	134840	U+2D563	𭕣
587	87956	U+2C147	𬅇
588	93928	U+1008E	𐂎
589	89608	U+2DE35	𭸵
590	81325	U+28962	𨥢
591	52844	U+3CE4	㳤
592	52529	U+3B8C	㮌
593	131407	U+2C2C2	𬋂
594	4127	U+8180	膀
595	49724	U+1F6C0	🛀
596	4242	U+8877	衷
597	69945	U+24566	𤕦
598	20498	U+9EC9	黉
599	111472	U+FAAC	窱
600	120553	U+25E84	𥺄
601	58255	U+778A	瞊
602	141181	U+302A7	𰊧
603	102923	U+17380	𗎀
604	91239	U+310F1	𱃱
605	88854	U+2CE2F	𬸯
606	91209	U+310A8	𱂨
607	43007	U+2478	⑸
608	30256	U+BBAE	뮮
609	94829	U+1064A	𐙊
