position	value	codepoint	char
202	26053	U+1137	ᄷ
203	111796	U+2025D	𠉝
204	110605	U+1E2D2	𞋒
205	143502	U+30D44	𰵄
206	12060	U+6F36	漶
207	13497	U+6022	怢
208	73804	U+25DB7	𥶷
209	904	U+696D	業
210	44075	U+2A23	⨣
211	6796	U+973E	霾
212	97074	U+11628	𑘨
213	60621	U+20587	𠖇
214	98319	U+121A2	𒆢
215	16405	U+8EDC	軜
216	31806	U+C200	숀
217	117765	U+24046	𤁆
218	90867	U+30CCA	𰳊
219	54239	U+42FF	䋿
220	36092	U+D39A	펚
221	32301	U+C405	쐅
222	34907	U+CEC6	컆
223	63408	U+2188A	𡢊
224	28204	U+B342	덂
225	90595	U+30633	𰘳
226	4447	U+5100	儀
227	66340	U+22AB6	𢪶
228	6464	U+71D4	燔
229	146379	U+31BAC	𱮬
230	129267	U+2B8CC	𫣌
231	10533	U+8BFE	课
232	80038	U+2821B	𨈛
233	97785	U+11D7D	𑵽
234	118663	U+2496C	𤥬
235	15759	U+8600	蘀
236	93977	U+100BF	𐂿
237	107896	U+186ED	𘛭
238	70997	U+24C1B	𤰛
239	91736	U+31E25	𱸥
240	101065	U+16882	𖢂
241	121296	U+26747	𦝇
242	78090	U+2774E	𧝎
243	39940	U+A0D1	ꃑ
244	39484	U+13DD	Ꮭ
245	107593	U+185BE	𘖾
246	88658	U+2CCAF	𬲯
247	140870	U+30144	𰅄
248	19623	U+82E2	苢
249	68773	U+23BF4	𣯴
250	20145	U+9603	阃
251	127335	U+2ADBF	𪶿
252	109659	U+1B268	𛉨
253	109337	U+18C96	𘲖
254	114770	U+22288	𢊈
255	12988	U+569D	嚝
256	65199	U+223A1	𢎡
257	74151	U+25FDF	𥿟
258	99916	U+132AA	𓊪
259	105758	U+17E93	𗺓
260	80765	U+28650	𨙐
261	121349	U+267E8	𦟨
262	72267	U+25378	𥍸
263	34102	U+CB80	쮀
264	63083	U+2160B	𡘋
265	75142	U+265E5	𦗥
266	30098	U+BB0C	묌
267	111750	U+201ED	𠇭
268	53417	U+3F7E	㽾
269	36214	U+D41A	퐚
270	106089	U+17FDE	𗿞
271	48693	U+1D4DD	𝓝
272	108763	U+18A58	𘩘
273	56277	U+4BAF	䮯
274	4778	U+6FC1	濁
275	13184	U+5A94	媔
276	129597	U+2BA40	𫩀
277	50762	U+1F250	🉐
278	14175	U+6BC3	毃
279	105966	U+17F63	𗽣
280	90078	U+2E838	𮠸
281	20324	U+9BE9	鯩
282	90993	U+30E76	𰹶
283	147906	U+321F9	𲇹
284	32115	U+C349	썉
285	146225	U+31B0E	𱬎
286	69178	U+23EDF	𣻟
287	33004	U+C6FD	웽
288	14334	U+6EA4	溤
289	93336	U+2C21	Ⱑ
290	31607	U+C12B	섫
291	62373	U+21144	𡅄
292	77000	U+2714E	𧅎
293	114747	U+22247	𢉇
294	33147	U+C7A3	잣
295	56427	U+4C50	䱐
296	109561	U+1B206	𛈆
297	68814	U+23C2E	𣰮
298	5146	U+8A98	誘
299	76249	U+26C68	𦱨
300	89718	U+2E0FB	𮃻
301	58479	U+7CE4	糤
302	42314	U+214F	⅏
303	118686	U+2499F	𤦟
304	56322	U+4BDF	䯟
305	131158	U+2C198	𬆘
306	144408	U+3137F	𱍿
307	74464	U+26203	𦈃
308	38450	U+0EB3	ຳ
309	49759	U+1F408	🐈
310	5034	U+81CD	臍
311	125277	U+29E57	𩹗
312	16503	U+90D4	郔
313	133609	U+2CF83	𬾃
314	106820	U+182B9	𘊹
315	7159	U+6FFA	濺
316	20104	U+953F	锿
317	38815	U+12F8	ዸ
318	120124	U+259CD	𥧍
319	37008	U+D765	흥
320	131147	U+2C18A	𬆊
321	47401	U+1F1F8	🇸
322	38370	U+17F6	៶
323	61494	U+20A9A	𠪚
324	43938	U+299A	⦚
325	48947	U+1D5E7	𝗧
326	45892	U+1CDE2	𜷢
327	27104	U+AECA	껊
328	115452	U+22A81	𢪁
329	138294	U+2E5A9	𮖩
330	108901	U+18AE2	𘫢
331	29401	U+B823	렣
332	24943	U+1EEA6	𞺦
333	41018	U+A543	ꕃ
334	119594	U+254E3	𥓣
335	87767	U+2BC49	𫱉
336	53250	U+3EB3	㺳
337	103623	U+1763C	𗘼
338	20388	U+9CC7	鳇
339	64613	U+2205E	𢁞
340	38953	U+1398	᎘
341	34419	U+CCC7	쳇
342	109137	U+18BCE	𘯎
343	42128	U+02E9	˩
344	45724	U+1CD3A	𜴺
345	112507	U+20A47	𠩇
346	95122	U+1081D	𐠝
347	10150	U+80BF	肿
348	71225	U+24D6C	𤵬
349	101405	U+169D6	𖧖
350	92424	U+AA57	꩗
351	37153	U+FFAE	ﾮ
352	55639	U+48FB	䣻
353	21826	U+26ED4	𦻔
354	77923	U+2765D	𧙝
355	81485	U+28AD4	𨫔
356	52341	U+3AB8	㪸
357	16330	U+8DC8	跈
358	80065	U+28242	𨉂
359	106266	U+1808F	𘂏
360	10923	U+94AE	钮
361	123628	U+28743	𨝃
362	140331	U+2F930	瑱
363	109191	U+18C04	𘰄
364	65651	U+22612	𢘒
365	13844	U+6647	晇
366	147088	U+31E9B	𱺛
367	113288	U+21264	𡉤
368	64255	U+21E20	𡸠
369	12460	U+880A	蠊
370	22664	U+01F9	ǹ
371	46808	U+1D376	𝍶
372	125026	U+29B0C	𩬌
373	5332	U+96CB	雋
374	85426	U+2A0FB	𪃻
375	124188	U+28D72	𨵲
376	147871	U+321D4	𲇔
377	20622	U+20164	𠅤
378	81861	U+28D8A	𨶊
379	134064	U+2D1D2	𭇒
380	109359	U+18CAC	𘲬
381	56484	U+4C91	䲑
382	109904	U+1BC61	𛱡
383	104243	U+178A8	𗢨
384	27714	U+B142	녂
385	42198	U+2045	⁅
386	18468	U+4D15	䴕
387	26850	U+ADBF	궿
388	54425	U+43C3	䏃
389	105205	U+17C6A	𗱪
390	124376	U+28FA0	𨾠
391	100647	U+1454F	𔕏
392	141421	U+303B0	𰎰
393	50926	U+3478	㑸
394	1896	U+AC15	강
395	115473	U+22AAE	𢪮
396	20613	U+200CA	𠃊
397	30876	U+BE41	빁
398	53157	U+3E4E	㹎
399	8596	U+4FB7	侷
400	50820	U+3407	㐇
401	131184	U+2C1B6	𬆶
402	137904	U+2E3CC	𮏌
403	11924	U+67B2	枲
404	12792	U+513D	儽
405	133711	U+2CFF6	𬿶
406	37856	U+0A9F	ટ
407	132729	U+2C9B6	𬦶
408	45530	U+1CC72	𜱲
409	132456	U+2C7E7	𬟧
410	46376	U+1D09E	𝂞
411	20660	U+20414	𠐔
412	102711	U+172AC	𗊬
413	47924	U+1F841	🡁
414	103615	U+17634	𗘴
415	69754	U+243FA	𤏺
416	20189	U+97B8	鞸
417	64707	U+220D6	𢃖
418	77003	U+27156	𧅖
419	13674	U+6351	捑
420	6467	U+726F	牯
421	129889	U+2BBBB	𫮻
422	99177	U+12FBA	𒾺
423	26919	U+AE07	긇
424	23949	U+0872	ࡲ
425	85435	U+2A105	𪄅
426	90347	U+2ED14	𮴔
427	6241	U+5ABD	媽
428	116353	U+232AA	𣊪
429	132508	U+2C83E	𬠾
430	30985	U+BEB0	뺰
431	23064	U+1E27	ḧ
432	7460	U+9336	錶
433	80146	U+282BF	𨊿
434	18226	U+40FA	䃺
435	83368	U+29592	𩖒
436	121170	U+265B7	𦖷
437	133705	U+2CFEF	𬿯
438	126588	U+2AA68	𪩨
439	109283	U+18C60	𘱠
440	100509	U+144C5	𔓅
441	1498	U+03BE	ξ
442	4857	U+760D	瘍
443	128336	U+2B262	𫉢
444	83830	U+297E7	𩟧
445	34069	U+CB5F	쭟
446	98438	U+12219	𒈙
447	116465	U+23383	𣎃
448	68223	U+238F7	𣣷
