position	value	codepoint	char
206	19366	U+78D7	磗
207	55014	U+4660	䙠
208	86723	U+2AC68	𪱨
209	100459	U+14493	𔒓
210	100397	U+14455	𔑕
211	108470	U+18933	𘤳
212	122498	U+2772A	𧜪
213	143926	U+31007	𱀇
214	105129	U+17C1E	𗰞
215	120228	U+25ACF	𥫏
216	88269	U+2C80B	𬠋
217	6281	U+607F	恿
218	111096	U+2ED8	⻘
219	8396	U+9404	鐄
220	42523	U+2257	≗
221	98737	U+12344	𒍄
222	37764	U+11FD3	𑿓
223	93047	U+1AA6	᪦
224	104924	U+17B51	𗭑
225	119262	U+250B4	𥂴
226	41776	U+159F	ᖟ
227	38717	U+1272	ቲ
228	23283	U+2160	Ⅰ
229	3947	U+77BF	瞿
230	128677	U+2B45D	𫑝
231	632	U+00F9	ù
232	66344	U+22ABB	𢪻
233	29480	U+B87C	롼
234	34173	U+CBC7	쯇
235	117803	U+2409D	𤂝
236	142536	U+30899	𰢙
237	1285	U+1787	ជ
238	50226	U+1F325	🌥
239	112469	U+209BC	𠦼
240	92009	U+284F	⡏
241	105859	U+17EF8	𗻸
242	9764	U+7573	畳
243	15552	U+8383	莃
244	8386	U+92D5	鋕
245	135239	U+2D746	𭝆
246	24332	U+FC98	ﲘ
247	85567	U+2A1D7	𪇗
248	103107	U+17438	𗐸
249	123834	U+289DF	𨧟
250	117633	U+23F2A	𣼪
251	55399	U+47F8	䟸
252	102555	U+17210	𗈐
253	106795	U+182A0	𘊠
254	145735	U+31912	𱤒
255	62180	U+20FA2	𠾢
256	24838	U+1EE10	𞸐
257	73082	U+2592B	𥤫
258	27042	U+AE8C	꺌
259	90882	U+30D19	𰴙
260	20360	U+9C9B	鲛
261	25234	U+051B	ԛ
262	143690	U+30E61	𰹡
263	121101	U+2650A	𦔊
264	54259	U+4314	䌔
265	100380	U+14444	𔑄
266	70524	U+24870	𤡰
267	62983	U+21576	𡕶
268	143121	U+30B69	𰭩
269	75747	U+26984	𦦄
270	33620	U+C995	즕
271	39473	U+13D2	Ꮢ
272	60357	U+203B3	𠎳
273	54430	U+43C8	䏈
274	148135	U+322E8	𲋨
275	3336	U+5E4C	幌
276	48736	U+1D509	𝔉
277	115876	U+22DC4	𢷄
278	66948	U+22F79	𢽹
279	66772	U+22E6F	𢹯
280	86863	U+2B072	𫁲
281	75286	U+266C3	𦛃
282	53752	U+40EE	䃮
283	67776	U+235B2	𣖲
284	122247	U+2734B	𧍋
