position	value	codepoint	char
0	1	U+0061	a
1	108572	U+18999	𘦙
2	96614	U+11240	𑉀
3	73251	U+25A20	𥨠
4	35800	U+D265	퉥
5	112995	U+20F5B	𠽛
6	71734	U+2504F	𥁏
7	48928	U+1D5D4	𝗔
8	85984	U+2A3F6	𪏶
9	144017	U+31066	𱁦
10	12183	U+767F	癿
11	61124	U+20896	𠢖
12	126521	U+2AA18	𪨘
13	90740	U+30B09	𰬉
14	39438	U+13AF	Ꭿ
15	94137	U+10316	𐌖
16	43842	U+293A	⤺
17	97466	U+11A27	𑨧
18	30238	U+BB9B	뮛
19	19514	U+7EAE	纮
20	105727	U+17E74	𗹴
21	111549	U+20042	𠁂
22	27143	U+AEF2	껲
23	32821	U+C632	옲
24	46866	U+1D7FB	𝟻
25	142705	U+30953	𰥓
26	41356	U+07F8	߸
27	106065	U+17FC6	𗿆
28	129804	U+2BB52	𫭒
29	95809	U+10C43	𐱃
30	36111	U+D3AE	펮
31	34856	U+CE90	캐
32	127816	U+2AFE1	𪿡
33	119367	U+25223	𥈣
34	50647	U+2638	☸
35	123982	U+28B29	𨬩
36	34925	U+CED8	컘
37	3312	U+5CE8	峨
38	69310	U+24009	𤀉
39	8757	U+5457	呗
40	119637	U+25539	𥔹
41	90951	U+30D8A	𰶊
42	99735	U+131F5	𓇵
43	33362	U+C88C	좌
44	21236	U+23AFA	𣫺
45	26774	U+AD71	굱
46	118921	U+24C3C	𤰼
47	15675	U+8524	蔤
48	131754	U+2C45A	𬑚
49	90463	U+301E0	𰇠
50	39477	U+13D6	Ꮦ
51	138610	U+2E731	𮜱
52	94384	U+10454	𐑔
53	73981	U+25ED2	𥻒
54	11924	U+67B2	枲
55	64737	U+220F9	𢃹
56	101021	U+16856	𖡖
57	20526	U+9FAA	龪
58	19063	U+6A8A	檊
59	144620	U+3145F	𱑟
60	86641	U+2A944	𪥄
61	146693	U+31CFB	𱳻
62	40000	U+A10D	ꄍ
63	128672	U+2B457	𫑗
64	131870	U+2C4EA	𬓪
65	108606	U+189BB	𘦻
66	87655	U+2B9B9	𫦹
67	103190	U+1748B	𗒋
68	134289	U+2D2D0	𭋐
69	63721	U+21AC0	𡫀
70	98763	U+1235E	𒍞
71	34785	U+CE43	칃
72	123532	U+285DB	𨗛
73	86093	U+2A47D	𪑽
74	5171	U+8B0E	謎
75	67458	U+23317	𣌗
76	91190	U+31085	𱂅
77	80541	U+284E8	𨓨
78	105637	U+17E1A	𗸚
79	59156	U+92E2	鋢
80	118661	U+2496A	𤥪
81	10752	U+900A	逊
82	21951	U+280BD	𨂽
83	90953	U+30D8D	𰶍
84	17826	U+8B4C	譌
85	56381	U+4C1D	䰝
86	128857	U+2B567	𫕧
87	82470	U+29100	𩄀
88	130249	U+2BD4B	𫵋
89	51109	U+353F	㔿
90	29409	U+B82F	렯
91	44129	U+2A59	⩙
92	128090	U+2B13D	𫄽
93	140319	U+2F924	犀
94	52168	U+39F7	㧷
95	41422	U+143D	ᐽ
96	145832	U+3197C	𱥼
97	99208	U+12FD9	𒿙
98	57262	U+5B35	嬵
99	112400	U+208B8	𠢸
100	92810	U+191D	ᤝ
101	122460	U+276A2	𧚢
102	2829	U+B374	덴
103	2759	U+101D	ဝ
104	112052	U+204A6	𠒦
105	112993	U+20F59	𠽙
106	115206	U+227DE	𢟞
107	80247	U+28349	𨍉
108	112095	U+204FB	𠓻
