position	value	codepoint	char
205	44354	U+2B3F	⬿
206	42537	U+2265	≥
207	14200	U+6C03	氃
208	3868	U+7433	琳
209	83779	U+297A7	𩞧
210	17050	U+99A6	馦
211	24082	U+FB8E	ﮎ
212	126923	U+2ABE2	𪯢
213	144629	U+31468	𱑨
214	5	U+0072	r
215	47695	U+1F72E	🜮
216	98318	U+121A1	𒆡
217	21053	U+2261B	𢘛
218	135037	U+2D64E	𭙎
219	141723	U+30505	𰔅
220	60022	U+20114	𠄔
221	69687	U+2435B	𤍛
222	19248	U+7371	獱
223	120844	U+26161	𦅡
224	89693	U+2E04C	𮁌
225	55415	U+4809	䠉
226	90878	U+30D15	𰴕
227	53241	U+3EA5	㺥
228	33240	U+C806	젆
229	27046	U+AE90	꺐
230	42713	U+2315	⌕
231	66725	U+22E03	𢸃
232	92520	U+1085C	𐡜
233	69458	U+24138	𤄸
234	19539	U+7F0D	缍
235	28833	U+B5D7	뗗
236	131738	U+2C43C	𬐼
237	58479	U+7CE4	糤
238	28406	U+B416	됖
239	36477	U+D52A	픪
240	133724	U+2D005	𭀅
241	94969	U+106D6	𐛖
242	5578	U+6084	悄
243	15059	U+7A7E	穾
244	93866	U+1002A	𐀪
245	92222	U+A4F4	ꓴ
246	83820	U+297D9	𩟙
247	16596	U+91F8	釸
248	77563	U+2746D	𧑭
249	7419	U+8FAE	辮
250	69962	U+2457C	𤕼
251	31510	U+C0C2	샂
252	100133	U+13383	𓎃
253	97991	U+1205A	𒁚
254	10482	U+8BBD	讽
255	75838	U+26A01	𦨁
256	40562	U+A33F	ꌿ
257	39202	U+0F4D	ཌྷ
258	26537	U+AC6D	걭
259	23556	U+AB36	ꬶ
260	90309	U+2EC60	𮱠
261	58358	U+7A0F	稏
262	84313	U+29A7E	𩩾
263	60151	U+20213	𠈓
264	129238	U+2B8A4	𫢤
265	109904	U+1BC61	𛱡
266	4363	U+968B	隋
267	93515	U+2CFC	⳼
268	109125	U+18BC2	𘯂
269	94322	U+10416	𐐖
270	52097	U+39A8	㦨
271	114070	U+21A50	𡩐
272	36569	U+D595	햕
273	21902	U+27967	𧥧
274	19601	U+816C	腬
275	51308	U+362B	㘫
276	3688	U+6C13	氓
277	147143	U+31ED4	𱻔
278	122337	U+2749B	𧒛
279	50348	U+1FA71	🩱
280	93370	U+2C43	ⱃ
281	26334	U+3181	ㆁ
282	87070	U+2B3AC	𫎬
283	52768	U+3C90	㲐
