position	value	codepoint	char
204	118412	U+28AA6	𨪦
205	79573	U+2BF40	𫽀
206	47958	U+A102	ꄂ
207	136691	U+17274	𗉴
208	128697	U+253A2	𥎢
209	42789	U+246AF	𤚯
210	4248	U+1E89A	𞢚
211	91306	U+235BA	𣖺
212	115035	U+64D8	擘
213	41408	U+FB69	ﭩ
214	92009	U+32127	𲄧
215	75800	U+88DD	裝
216	53566	U+2ADBA	𪶺
217	84827	U+26418	𦐘
218	75171	U+24EF3	𤻳
219	116270	U+92DF	鋟
220	130514	U+8B55	譕
221	114230	U+31A7D	𱩽
222	32332	U+2C315	𬌕
223	89828	U+5B9B	宛
224	116829	U+185DE	𘗞
225	107402	U+17231	𗈱
226	130540	U+99C7	駇
227	107208	U+2B453	𫑓
228	63201	U+179D	ឝ
229	110810	U+4A49	䩉
230	55045	U+20A7B	𠩻
231	21319	U+B303	댃
232	65201	U+178CD	𗣍
233	38846	U+401A	䀚
234	94743	U+171CE	𗇎
235	36940	U+31AA4	𱪤
236	139749	U+6BA2	殢
237	142888	U+124AD	𒒭
238	47072	U+33FE	㏾
239	31581	U+290D	⤍
240	96351	U+D4BF	풿
241	115539	U+29240	𩉀
242	22143	U+2B94B	𫥋
243	15344	U+20687	𠚇
244	91862	U+31811	𱠑
245	130258	U+22975	𢥵
246	131661	U+24ED	⓭
247	108378	U+17C31	𗰱
248	67398	U+1F38	Ἰ
249	126655	U+1A01	ᨁ
250	77974	U+18A9C	𘪜
251	80344	U+291F9	𩇹
252	66911	U+2926C	𩉬
253	138776	U+13186	𓆆
254	73380	U+30D19	𰴙
255	72186	U+2CE3A	𬸺
256	56611	U+30EB6	𰺶
257	64726	U+59AF	妯
258	114939	U+36E9	㛩
259	101718	U+1F338	🌸
260	144764	U+4392	䎒
261	114001	U+6AD1	櫑
262	124732	U+1750C	𗔌
263	82610	U+17CBF	𗲿
264	51828	U+C5EB	엫
265	75786	U+842C	萬
266	137179	U+9D9A	鶚
267	106288	U+27BCA	𧯊
268	92169	U+24CBA	𤲺
269	45329	U+254E3	𥓣
270	85909	U+265E9	𦗩
271	97979	U+FB05	ﬅ
272	27643	U+54E0	哠
273	83060	U+9055	違
274	120854	U+2995A	𩥚
275	115327	U+297EF	𩟯
276	113579	U+2613B	𦄻
277	69262	U+A54C	ꕌ
278	15126	U+2E3BD	𮎽
279	107831	U+2D5EF	𭗯
280	92612	U+7C9D	粝
281	141936	U+29C09	𩰉
282	40932	U+2BC2B	𫰫
283	97040	U+18513	𘔓
284	136144	U+2BD6B	𫵫
285	29589	U+2D50B	𭔋
286	22718	U+26B56	𦭖
287	119113	U+182C4	𘋄
288	101272	U+29A28	𩨨
289	86182	U+26A3C	𦨼
290	63063	U+21E5A	𡹚
291	38249	U+14539	𔔹
292	37827	U+B7FA	럺
293	91090	U+7582	疂
294	135072	U+31245	𱉅
295	110153	U+31C9C	𱲜
296	95395	U+21874	𡡴
297	129395	U+8E6B	蹫
298	49306	U+24AF6	𤫶
299	120606	U+2572A	𥜪
300	130864	U+1D7EF	𝟯
301	87209	U+58A1	墡
302	5876	U+A6A7	ꚧ
303	60867	U+2AD98	𪶘
304	31620	U+18A6A	𘩪
305	106827	U+81AD	膭
306	9566	U+B7F3	럳
307	4785	U+2F6C	⽬
308	75330	U+2B2BF	𫊿
309	119530	U+3A7B	㩻
310	84297	U+70C6	烆
311	70500	U+2D534	𭔴
312	56906	U+28F38	𨼸
313	46969	U+272BE	𧊾
314	69592	U+743E	琾
315	62976	U+2B1A6	𫆦
316	123605	U+9831	頱
317	96094	U+3A9B	㪛
318	51294	U+1087E	𐡾
319	64199	U+24FEE	𤿮
320	20771	U+0A1E	ਞ
321	4606	U+1835	ᠵ
322	86904	U+2BF86	𫾆
323	121724	U+162B	ᘫ
324	102993	U+23C64	𣱤
325	50946	U+2143B	𡐻
326	144616	U+1F0C7	🃇
327	134930	U+2E9ED	𮧭
328	88144	U+2C400	𬐀
329	145757	U+4320	䌠
330	77768	U+27C47	𧱇
331	5873	U+2D172	𭅲
332	35110	U+C5B2	얲
333	97200	U+11C07	𑰇
334	139384	U+12150	𒅐
335	28680	U+2ABE5	𪯥
336	137541	U+29BD2	𩯒
337	104065	U+21082	𡂂
338	52191	U+0D26	ദ
339	111065	U+1783C	𗠼
340	32000	U+2593A	𥤺
341	96204	U+6976	楶
342	135251	U+9CAE	鲮
343	119648	U+8180	膀
344	133081	U+7EE6	绦
345	103585	U+6937	椷
346	134693	U+4C01	䰁
347	75420	U+1252A	𒔪
348	124825	U+27B52	𧭒
349	25914	U+31D83	𱶃
350	19722	U+D355	퍕
351	43494	U+251D4	𥇔
352	66411	U+8CF7	賷
353	118730	U+8DA6	趦
354	73907	U+C25E	쉞
355	95789	U+30F0A	𰼊
356	69565	U+6695	暕
357	121729	U+199B	ᦛ
358	18775	U+C152	셒
359	136004	U+7029	瀩
