position	value	codepoint	char
202	40131	U+A190	ꆐ
203	30721	U+BDA2	붢
204	9538	U+6D8F	涏
205	44419	U+2B84	⮄
206	83839	U+297F3	𩟳
207	101663	U+16AEB	𖫫
208	117518	U+23E3D	𣸽
209	50229	U+1F328	🌨
210	124355	U+28F4B	𨽋
211	54235	U+42F9	䋹
212	61249	U+20941	𠥁
213	71963	U+251A0	𥆠
214	52564	U+3BB3	㮳
215	134270	U+2D2BC	𭊼
216	118291	U+24470	𤑰
217	3140	U+54AC	咬
218	129704	U+2BAD3	𫫓
219	78354	U+278CA	𧣊
220	95418	U+109F7	𐧷
221	49368	U+1D796	𝞖
222	93038	U+1A97	᪗
223	120680	U+25FD8	𥿘
224	52462	U+3B3F	㬿
225	59631	U+F922	濫
226	20888	U+21726	𡜦
227	19358	U+787A	硺
228	85798	U+2A314	𪌔
229	1973	U+67FF	柿
230	138495	U+2E6B2	𮚲
231	316	U+0637	ط
232	33172	U+C7BE	잾
233	14740	U+7500	甀
234	17086	U+99FC	駼
235	133058	U+2CB9E	𬮞
236	71268	U+24DA8	𤶨
237	642	U+5458	员
238	99269	U+13023	𓀣
239	130391	U+2BDF4	𫷴
240	46004	U+1CE52	𜹒
241	127086	U+2AC9D	𪲝
242	4882	U+7845	硅
243	7776	U+5E2E	帮
244	4193	U+849C	蒜
245	67619	U+23466	𣑦
246	86322	U+2A59E	𪖞
247	116940	U+23771	𣝱
248	51553	U+375A	㝚
249	136073	U+2DB25	𭬥
250	132973	U+2CAE4	𬫤
251	27699	U+B131	넱
252	125434	U+2A006	𪀆
253	53397	U+3F69	㽩
254	147024	U+31E5A	𱹚
255	31090	U+BF19	뼙
256	12419	U+85A2	薢
257	36541	U+D576	핶
258	13521	U+608A	悊
259	45441	U+1CC19	𜰙
260	10180	U+81B6	膶
261	12617	U+9AFD	髽
262	71845	U+250FE	𥃾
263	60550	U+2051B	𠔛
264	101286	U+1695F	𖥟
265	50190	U+1F561	🕡
266	35262	U+D037	퀷
267	31491	U+C0AA	삪
268	145717	U+318FF	𱣿
269	37873	U+0AB2	લ
270	90966	U+30DE6	𰷦
271	93893	U+10047	𐁇
272	30178	U+BB5F	뭟
273	101371	U+169B4	𖦴
274	148224	U+32346	𲍆
275	1668	U+0BB4	ழ
276	24368	U+FCBC	ﲼ
277	57938	U+6E6A	湪
278	33474	U+C8FD	죽
279	33386	U+C8A4	좤
280	43431	U+263E	☾
281	111799	U+20260	𠉠
282	101032	U+16861	𖡡
283	108044	U+18781	𘞁
284	135280	U+2D774	𭝴
285	63724	U+21AC3	𡫃
286	61519	U+20ABF	𠪿
287	63219	U+2170C	𡜌
288	70043	U+245E6	𤗦
289	85608	U+2A212	𪈒
290	101839	U+16D74	𖵴
291	104283	U+178D0	𗣐
292	127849	U+2B005	𫀅
293	37524	U+10157	𐅗
294	61676	U+20B9C	𠮜
295	144318	U+312F2	𱋲
296	56480	U+4C8D	䲍
297	75769	U+269A2	𦦢
298	114401	U+21DBD	𡶽
299	15656	U+84F6	蓶
300	70677	U+249AA	𤦪
301	40388	U+A291	ꊑ
302	45328	U+1013D	𐄽
303	79977	U+281C1	𨇁
304	45228	U+FF11	１
305	76315	U+26CEB	𦳫
306	23806	U+0680	ڀ
307	31018	U+BED1	뻑
308	96647	U+112A4	𑊤
309	81777	U+28D1E	𨴞
310	74813	U+263EB	𦏫
311	131701	U+2C414	𬐔
312	138871	U+2E86D	𮡭
313	122030	U+27074	𧁴
314	83385	U+295A6	𩖦
315	100765	U+145C5	𔗅
316	123359	U+2839F	𨎟
317	32988	U+C6EC	웬
318	130008	U+2BC47	𫱇
319	118619	U+2490E	𤤎
320	77043	U+27193	𧆓
321	122688	U+27A12	𧨒
322	31958	U+C2A0	슠
323	68627	U+23B0B	𣬋
324	92799	U+1912	ᤒ
325	112001	U+20430	𠐰
326	119153	U+24F44	𤽄
327	57525	U+61D5	懕
328	61842	U+20CBB	𠲻
329	90156	U+2E9FB	𮧻
330	103063	U+1740C	𗐌
331	119438	U+252E8	𥋨
332	133962	U+2D13D	𭄽
333	1395	U+099A	চ
334	24242	U+FC3E	ﰾ
335	147999	U+3225B	𲉛
