position	value	codepoint	char
204	49764	U+1F434	🐴
205	17591	U+95A0	閠
206	132364	U+2B288	𫊈
207	34376	U+CCEA	쳪
208	64741	U+22105	𢄅
209	92747	U+1740	ᝀ
210	41540	U+14BD	ᒽ
211	105592	U+16AA2	𖪢
212	78071	U+2772F	𧜯
213	31767	U+C259	쉙
214	123042	U+24DEC	𤷬
215	10299	U+8C30	谰
216	14709	U+7909	礉
217	21449	U+26512	𦔒
218	114816	U+1E863	𞡣
219	45564	U+1CC95	𜲕
220	130886	U+2ABBF	𪮿
221	70480	U+2483C	𤠼
222	100204	U+133CA	𓏊
223	150713	U+31D17	𱴗
224	2792	U+5FA8	徨
225	55593	U+48C6	䣆
226	58830	U+88D3	裓
227	57758	U+689A	梚
228	24693	U+1EE9B	𞺛
229	89224	U+2D505	𭔅
230	110944	U+1833A	𘌺
231	137853	U+2D0BB	𭂻
232	27838	U+B27A	뉺
233	94093	U+102BB	𐊻
234	95120	U+1081B	𐠛
235	102143	U+13B87	𓮇
236	96005	U+10D64	𐵤
237	69117	U+23E62	𣹢
238	16460	U+9379	鍹
239	50951	U+3495	㒕
240	62006	U+20DFE	𠷾
241	149426	U+317D3	𱟓
242	132830	U+2B54E	𫕎
243	134519	U+2BE8B	𫺋
244	87872	U+2BF73	𫽳
245	89748	U+2E1C2	𮇂
246	116525	U+20AA4	𠪤
247	132982	U+2B63F	𫘿
248	122785	U+24A9D	𤪝
249	85763	U+2A2EA	𪋪
250	30720	U+BE2C	븬
251	68986	U+23D62	𣵢
252	92942	U+19DF	᧟
253	32606	U+C5B2	얲
254	494	U+06F1	۱
255	74555	U+2628A	𦊊
256	94682	U+105A6	𐖦
257	43646	U+2773	❳
258	21500	U+26B5B	𦭛
259	103540	U+140FC	𔃼
260	40481	U+A2F8	ꋸ
261	82235	U+28FC8	𨿈
262	18458	U+5975	奵
263	16159	U+8EF4	軴
264	115069	U+2EC2	⻂
265	35658	U+D211	툑
266	151635	U+320E1	𲃡
267	35064	U+CFB0	쾰
268	73928	U+25E74	𥹴
269	140624	U+2DDC0	𭷀
270	82502	U+2912F	𩄯
271	137204	U+2CC88	𬲈
272	102772	U+13DFC	𓷼
273	54792	U+4571	䕱
274	120891	U+23711	𣜑
275	17572	U+8ECE	軎
276	84653	U+29C66	𩱦
277	30257	U+BC49	뱉
278	21513	U+26C7E	𦱾
279	122268	U+2444D	𤑍
280	98220	U+1213F	𒄿
281	86861	U+2B05F	𫁟
282	97459	U+11A20	𑨠
283	46377	U+1D0A0	𝂠
284	92392	U+AA1B	ꨛ
285	152066	U+322A4	𲊤
286	139303	U+2D797	𭞗
287	89909	U+2E4B9	𮒹
288	82700	U+2924A	𩉊
289	67030	U+22FF3	𢿳
290	102983	U+13ECF	𓻏
291	29641	U+B9C2	맂
292	126391	U+27557	𧕗
293	111232	U+1845A	𘑚
294	21282	U+24D13	𤴓
295	69968	U+24584	𤖄
296	9137	U+69CE	槎
297	38168	U+111E3	𑇣
298	132280	U+2B220	𫈠
299	144409	U+2F983	脃
300	31945	U+C314	쌔
301	42919	U+23F7	⏷
302	86541	U+2A6AF	𪚯
303	18777	U+69DC	槜
304	29880	U+BAC1	뫁
305	96626	U+1128D	𑊍
306	72636	U+255DE	𥗞
307	82590	U+291B9	𩆹
308	45833	U+1CDA8	𜶨
309	82925	U+29359	𩍙
310	114297	U+1D962	𝥢
311	132269	U+2B212	𫈒
312	22500	U+0255	ɕ
313	120312	U+2325D	𣉝
314	11640	U+65F5	旵
315	63818	U+21B52	𡭒
316	82574	U+2919F	𩆟
317	37075	U+D7D7	ퟗ
318	147792	U+30F0A	𰼊
319	40920	U+A4B2	꒲
320	79881	U+28114	𨄔
321	14015	U+6DBA	涺
322	122002	U+24255	𤉕
323	20432	U+208D5	𠣕
324	102521	U+13D01	𓴁
325	133417	U+2B978	𫥸
326	147703	U+30EA5	𰺥
327	120264	U+23203	𣈃
328	132335	U+2B266	𫉦
329	124513	U+25E13	𥸓
330	104037	U+142ED	𔋭
331	9955	U+8366	荦
332	101324	U+13854	𓡔
333	72175	U+252ED	𥋭
334	106151	U+17081	𗂁
335	39541	U+AB94	ꮔ
336	2492	U+53EA	只
337	84155	U+299B9	𩦹
338	49578	U+1F5EF	🗯
339	87150	U+2B4ED	𫓭
340	92304	U+A862	ꡢ
341	108296	U+178E2	𗣢
342	25276	U+1B02D	𛀭
343	26792	U+AE57	깗
344	114274	U+1D94B	𝥋
345	91787	U+32245	𲉅
346	31165	U+BFEA	뿪
347	41553	U+14CA	ᓊ
348	65657	U+2261D	𢘝
349	120051	U+22F9F	𢾟
350	128320	U+28F03	𨼃
351	145961	U+30618	𰘘
352	42428	U+21FC	⇼
353	49731	U+1F5E3	🗣
354	61536	U+20ADC	𠫜
355	83321	U+29552	𩕒
356	151280	U+31F68	𱽨
357	31594	U+C1A9	솩
358	37469	U+1FED	῭
359	29679	U+B9ED	맭
360	88887	U+2CE87	𬺇
361	105346	U+169A0	𖦠
362	16683	U+97C5	韅
363	7560	U+67B4	枴
364	18943	U+7151	煑
365	97679	U+11C7B	𑱻
366	136667	U+2C961	𬥡
367	35432	U+D129	턩
368	16232	U+9073	遳
369	3693	U+840E	萎
370	62799	U+21422	𡐢
371	45158	U+FE32	︲
372	3964	U+5021	倡
373	150859	U+31DAF	𱶯
374	116822	U+20E15	𠸕
375	69639	U+242EB	𤋫
376	126195	U+272C3	𧋃
377	61542	U+20AE4	𠫤
378	113639	U+1B259	𛉙
379	150018	U+31A40	𱩀
380	44438	U+2B9D	⮝
381	126645	U+27989	𧦉
382	110956	U+18346	𘍆
383	118839	U+2232A	𢌪
384	81920	U+28DF3	𨷳
385	55319	U+47A4	䞤
386	105930	U+16E9A	𖺚
387	71599	U+24F9B	𤾛
388	135369	U+2C29A	𬊚
389	136020	U+2C5AA	𬖪
390	99562	U+13148	𓅈
391	22484	U+0245	Ʌ
392	112799	U+18A81	𘪁
393	55184	U+4714	䜔
394	73583	U+25C45	𥱅
395	81208	U+288B9	𨢹
396	127761	U+2893B	𨤻
397	18395	U+5737	圷
398	16840	U+9A14	騔
399	89153	U+2D385	𭎅
400	145546	U+3043B	𰐻
401	79911	U+28153	𨅓
402	145403	U+303A1	𰎡
403	152041	U+3228B	𲊋
404	42936	U+240B	␋
405	84930	U+29DF8	𩷸
406	116115	U+20561	𠕡
407	36762	U+D68D	획
408	113199	U+18C11	𘰑
409	46104	U+1CF53	𜽓
410	74452	U+261F3	𦇳
411	28774	U+B642	뙂
412	107943	U+17781	𗞁
413	67512	U+23384	𣎄
414	89860	U+2E3B0	𮎰
415	43417	U+2632	☲
416	141054	U+2DFBE	𭾾
417	135642	U+2C3D5	𬏕
418	96472	U+11163	𑅣
419	65602	U+225C8	𢗈
420	89079	U+2D170	𭅰
421	49887	U+1F333	🌳
422	126461	U+276BE	𧚾
423	125661	U+26C12	𦰒
424	122319	U+244B4	𤒴
425	41179	U+A5EE	ꗮ
426	103866	U+14242	𔉂
427	5726	U+503C	值
428	2409	U+5175	兵
429	150054	U+31A66	𱩦
430	65722	U+22689	𢚉
431	31545	U+C174	셴
432	79099	U+27C8C	𧲌
433	15762	U+88D6	裖
434	134639	U+2BF14	𫼔
435	24897	U+04B0	Ұ
436	143961	U+2EDE9	𮷩
437	79418	U+27E60	𧹠
438	100714	U+135F2	𓗲
439	36962	U+D756	흖
440	46962	U+1ED19	𞴙
441	5233	U+63C9	揉
442	103876	U+1424C	𔉌
443	22205	U+0108	Ĉ
444	68121	U+2387A	𣡺
445	117607	U+21544	𡕄
446	109565	U+17DD7	𗷗
447	120241	U+231D2	𣇒
448	31245	U+C03A	쀺
449	35329	U+D0BF	킿
450	100739	U+1360B	𓘋
451	142215	U+2E54F	𮕏
452	46515	U+1D136	𝄶
453	24090	U+FC9B	ﲛ
454	28131	U+B3AB	뎫
455	667	U+9AD8	高
456	16689	U+97D4	韔
457	34504	U+CD6C	쵬
458	56026	U+4A9E	䪞
459	108366	U+17928	𗤨
460	20716	U+21988	𡦈
461	78532	U+279AA	𧦪
462	75044	U+26539	𦔹
463	60613	U+20579	𠕹
464	35184	U+D029	퀩
465	108083	U+1780D	𗠍
466	36409	U+D512	픒
467	114775	U+1E83A	𞠺
468	10056	U+8723	蜣
469	84921	U+29DE7	𩷧
470	35698	U+D23A	툺
471	33908	U+CB10	쬐
472	52312	U+3A9A	㪚
473	44006	U+29E3	⧣
474	49370	U+1D798	𝞘
475	3001	U+660F	昏
476	68928	U+23CE9	𣳩
477	144949	U+3019E	𰆞
478	35608	U+D1DF	퇟
479	61339	U+209CE	𠧎
480	85801	U+2A317	𪌗
481	22655	U+1D3C	ᴼ
482	74560	U+2628F	𦊏
483	68623	U+23B06	𣬆
484	83603	U+296B7	𩚷
485	95679	U+10B59	𐭙
486	137959	U+2D140	𭅀
487	107531	U+175E5	𗗥
488	145164	U+30297	𰊗
489	134924	U+2C064	𬁤
490	34689	U+CE2D	츭
491	82711	U+29259	𩉙
492	82574	U+2919F	𩆟
493	86360	U+2A5D8	𪗘
494	6766	U+6961	楡
495	56747	U+4DB5	䶵
496	125335	U+267CD	𦟍
497	118679	U+2216C	𢅬
498	86088	U+2A477	𪑷
499	126127	U+271BF	𧆿
500	113285	U+18C67	𘱧
501	82668	U+29222	𩈢
502	62527	U+21224	𡈤
503	26872	U+AEA7	꺧
504	18400	U+5743	坃
505	81675	U+28C94	𨲔
506	89212	U+2D4D7	𭓗
507	134623	U+2BF02	𫼂
508	24358	U+FDAB	ﶫ
509	104420	U+14471	𔑱
510	74467	U+26208	𦈈
511	17232	U+9F42	齂
512	82529	U+29161	𩅡
513	142917	U+2E8AA	𮢪
514	78206	U+277F3	𧟳
515	41247	U+2D36	ⴶ
516	45644	U+1CCE5	𜳥
517	43150	U+250D	┍
518	146733	U+3097D	𰥽
519	84244	U+29A29	𩨩
520	110053	U+17FBF	𗾿
521	82174	U+28F85	𨾅
522	98945	U+12486	𒒆
523	116741	U+20D54	𠵔
524	69119	U+23E64	𣹤
525	25401	U+1B0AA	𛂪
526	89569	U+2DCE9	𭳩
527	116651	U+20C75	𠱵
528	125366	U+26821	𦠡
529	21260	U+24AB2	𤪲
530	109924	U+17F3E	𗼾
531	58781	U+872F	蜯
532	61939	U+20D78	𠵸
533	144751	U+300CC	𰃌
534	36858	U+D6EE	훮
535	137785	U+2D064	𭁤
536	47270	U+1F12F	🄯
537	89015	U+2D061	𭁡
538	35316	U+D0B0	킰
539	104537	U+144E6	𔓦
540	91668	U+318C2	𱣂
541	14831	U+7B13	笓
542	100905	U+136B1	𓚱
543	27437	U+B0E1	냡
544	111657	U+18603	𘘃
545	38592	U+2D1E	ⴞ
546	140468	U+2DD0B	𭴋
547	31461	U+C117	섗
548	72230	U+25345	𥍅
549	1261	U+514D	免
550	107767	U+176D1	𗛑
551	69888	U+2450B	𤔋
552	76865	U+27070	𧁰
553	131577	U+2AED2	𪻒
554	140959	U+2DF4F	𭽏
555	58786	U+8745	蝅
556	60236	U+202BE	𠊾
557	37782	U+11FEF	𑿯
558	5985	U+6380	掀
559	107670	U+17670	𗙰
560	5477	U+82D3	苓
561	73022	U+258CC	𥣌
562	147249	U+30BF7	𰯷
563	19363	U+82C9	苉
